Title,Title_link,Texts,Likes,Comments
#USMCFS24980,https://www.facebook.com/hashtag/usmcfs24980?__eep__=6&__cft__[0]=AZVYuvKz2rSPF-hbEAzxpzlxt5W5aCtAgjTDvUvIJUIoqSMyo6GrW3itsCIYniXFibLlC2mS3RHsBh9dc_KpCzjgBEj7GPdypYFNO2NCMMiXGQQw2a7n4DzfZoof5zbW-cPkGvP7FuF7oVzhLHkWrZGT&__tn__=*NK-R,Is simping allowed in USM confession? Because holy shit … See More,1,0 Comments
#USMCFS24982,https://www.facebook.com/hashtag/usmcfs24982?__eep__=6&__cft__[0]=AZUmyYnleuvlf-vHmxQNT8gj0C5vnyCDUJOmhECPt2e0H-kdONtwtBzCqCkc5gQALK5th_AS_iASp6uOpPn_F_Kzt9U1-b5QxkfPlaLeG8RZQbIT2AGBCIR-8yHrEJ2ukhn2bvpkp9iWE_Gn5iKDLlvw&__tn__=*NK-R,,,
#USMCFS24990,https://www.facebook.com/hashtag/usmcfs24990?__eep__=6&__cft__[0]=AZVAAKx2TEFfbqgcOb5OLQjW1E71YJ8P4Zp-sOjOV1Kg9R0gh_ZfLodHu3wpvUWSjqDkcicZ4Vd5DzKAlUR46NrjrXuo9eI3uBsRLVy8dnivY0BK5zvfnD8QxJZ6pvacLTVo2PT97nLygpxgTMAjcFZb&__tn__=*NK-R,If i submit a pic from the phone... Will the picture appear? I tried but no picture appeared n i scared to press submit like what if the picture didnot get uploaded ?,,
#USMCFS24991,https://www.facebook.com/hashtag/usmcfs24991?__eep__=6&__cft__[0]=AZVQT0AWgq0-KD8JpRIZTPru-GLaHSgJcyz9LKkEFwkRq99LWhy60IHVXScrfr1wYdzyJ2bJMi02aCleh0ImBNI9zkq6ZFwDGCQYJa_aqpoFIV7FPMFMYeHQWU8u0-zqhbN5MNP30LtivwaffAZ8_8Vy&__tn__=*NK-R,"now that im back in campus, have no roommate, all alone while its lockdown. as an introvert its not much of problem but i do get lonely too sometimes :') my friends are either at other hostel or at home now. i go out only to find food. then back at my room staring at phone/laptop only. i wanna make friends with my new cubemates but im shy idk :') send help :')))",16,1 Comment
#USMCFS25000,https://www.facebook.com/hashtag/usmcfs25000?__eep__=6&__cft__[0]=AZXQuiI6eB_wksd-fa9Mh3UEFJ7-0vt67l8hFk7RDdw_fEeWx36yuetqPwpA-zCVOn7Cn-7BqxwtCXkUALESLy_jEC3MMvhC6ZXIvZxTyIYmmc0KBSzB3NhFjxNuhxUXPphxhdyqBy500vpD5Nf6Y4qn&__tn__=*NK-R,,3,0 Comments
#USMCFS25004,https://www.facebook.com/hashtag/usmcfs25004?__eep__=6&__cft__[0]=AZW8wr6Fumt8Bn4_BTyvTt5k3WOnBOX8e2j607orpQa5HCc1QMbXRnRe6jO8xzeJrfg4oKCoNpre-JKn-zWQ3Jv9EFThFf2uddL-GqBLfLP4zsca0Q7mljahs5wEPrQY_47WT_3L5Jly2hNcsgOndz_B&__tn__=*NK-R,,,
#USMCFS25006,https://www.facebook.com/hashtag/usmcfs25006?__eep__=6&__cft__[0]=AZXZ495DXbkA57vMr6pQBT3kgPfM33UYSTfrrFOrZZLAns_hoFDnAHwGtcNcf2p473Y9lY1vM3LhlqK2jSlbrw40u_MlcBxF-YQUMjuVcrzKBY8syNK7XaVOHPKJ2sN50UPQRY636SxEZQa4y7pwsnTQ&__tn__=*NK-R,Olah! Mosi mita?… See More,19,4 Comments
#USMCFS25009,https://www.facebook.com/hashtag/usmcfs25009?__eep__=6&__cft__[0]=AZXGoOzZjQwUer1QWONd5QlLC3xL2nMeEPvYqU5ytn0s1BowZYu0paTC30W1hct2GQf5xIS1pTzU8phapCRUPTLCayA_twFeyLmoJjrkx5LnLoDrRgFral-GBNMAqfPcd2vQSLtX3KryyWInbmE76Bbo&__tn__=*NK-R,"People discussing, you vanishing",1,0 Comments
#USMCFS25012,https://www.facebook.com/hashtag/usmcfs25012?__eep__=6&__cft__[0]=AZVCc0_fldCDLX6pn4_pc8N39FBD8VxwhsMtLbexOoFP_s_s_a6fN5EGpYV5jMAV05h-WdXehHpmZhRQQnSeY7yaYGwc9KZ-3r8Ahug8qPGkuiYgqxiod91rD9TgZTlegInaVbTbVQIIW1x4wgzCdI-e&__tn__=*NK-R,"Walao, I read a few article about what is a religion and its usage to do the SHE individual assignment. This is a really hard torture for a Atheist like me. I'm just believe in $$, how should I do this essay ==",2,0 Comments
#USMCFS25014,https://www.facebook.com/hashtag/usmcfs25014?__eep__=6&__cft__[0]=AZUqKy4APpXmBnAJtcPRWcSaHWk286UWrl7kWBtlwCMV6RTsN8EyHPalD2LAUIQ_yhARGmBz8RQxVGWW7-EekIxDjfv-ch8X8VnAADQsa3J0FhjUHoGadrs4Ayk1ngTGC8VH08B9OCfwE8aRtHmDhK7k&__tn__=*NK-R,Covid is real enemy pls rmb,2,0 Comments
